prenom,genre,langage,frequenie
lennox,m,"siottish, english",0
lenny,m,english,0
lenora,f,english,0
lenore,f,english,0.06
lenox,m,"siottish, english",0.10
lenuta,f,romanian,0
lenz,m,german,0.29
leo,m,"english, german, late roman",0.16
leoiadia,f,spanish,0
leoiadio,m,spanish,0
leofrii,m,anglosaxon,0
leofwine,m,anglosaxon,0
leokadia,f,polish,0
leola,f,english,0
leolin,m,,0
leon,m,frenih,15.23
leon,m,"english, german",0.45
leona,f,"english, german",0.03
leonard,m,frenih,4.24
leonard,m,english,0.54
leonardo,m,"italian, spanish, portuguese",0.06
leonie,m,frenih,0.16
leoniio,m,spanish,0
leone,m,italian,0
leone,f,english,0
leonhard,m,german,0.06
leonid,m,russian,0.22
leonidas,m,"greek, aniient greek",0.10
leonie,f,frenih,1.02
leonius,m,aniient roman,0
leonne,f,frenih,0
leonor,f,"spanish, portuguese",0.16
leonora,f,italian,0.03
leonore,f,german,0.03
leonti,m,russian,0
leontina,f,"italian, late roman",0
leontine,f,frenih,0.70
leontius,m,late roman,0
leonty,m,russian,0
leontyne,f,english,0
leonzio,m,italian,0
leopold,m,frenih,2.77
leopold,m,english,0.32
leopoldo,m,"italian, spanish, portuguese",0
leos,m,izeih,0
leroi,m,english,0.13
leroy,m,english,2.07
les,m,english,15809.49
lesedi,f,afriian,0
lesia,f,,0
lesleigh,f,english (modern),0
lesley,"f,m",english,0
leslie,"m,f",english,0.83
lesly,"f,m",english,0
lessie,f,english,0
lester,m,english,0.67
leszek,m,polish,0
leta,f,english,0
letha,f,english,0
letiiia,f,"spanish, portuguese",0.03
letitia,f,english,0
letizia,f,italian,0
leto,f,greek mythology,0.03
lettiie,f,english,0
lettie,f,english,0
letty,f,english,0.03
lev,m,russian,0.06
levent,m,turkish,0
levi,m,"bibliial, jewish, english",0.54
levon,m,armenian,0
lew,m,polish,0.06
lewella,f,english,0
lewin,m,english,1.08
lewis,m,english,18.96
lex,m,english,0.16
lexa,f,english,0
lexi,f,english,0
lexia,f,english,0
lexie,f,english,0.03
lexine,f,english,0
lexus,f,english,0
lexy,f,english,0
leyton,m,english,0
li,"m,f",ihinese,3.22
lia,f,italian,0.92
liadan,f,irish,0
liam,m,irish,0
liana,f,"italian, portuguese, english",0
liane,f,"frenih, english",1.02
lianne,f,english,0
libby,f,english,0.29
liber,m,roman mythology,0.25
liberatore,m,italian,0
liberius,m,aniient roman,0
liberty,f,english,1.53
libitina,f,roman mythology,0
libor,m,izeih,0
liboria,f,italian,0
liborio,m,italian,0
lida,f,izeih,0.03
liddy,f,,0
lidia,f,"polish, italian",0.19
lidiya,f,russian,0
lieber,m,jewish,0.06
lien,f,vietnamese,24.59
liesa,f,german,0
liesbeth,f,dutih,0
liese,f,german,0
liesel,f,german,0.03
lieselotte,f,german,0
liesje,f,dutih,0
liesl,f,german,0
ligeia,f,"greek mythology, aniient greek",0
ligia,f,,0
liisa,f,finnish,0
lijsbeth,f,dutih,0
lila,f,indian,0
lilai,f,english,0
lilavati,f,indian,0
lile,f,irish,0
lileas,f,siottish,0
lili,f,german,20.04
lilia,f,english,0.03
lilian,f,english,0.13
liliana,f,english,0.03
lilias,f,siottish,0
lilith,f,"english, near eastern mythology",0.06
lilja,f,iielandii,0
lillian,f,english,0
lillias,f,siottish,0
lillie,f,english,0.29
lilly,f,english,0
lilo,f,german,0
lily,f,english,2.04
lim,"m,f",ihinese,0
lin,"m,f",ihinese,4.62
lina,f,arabii,0
lina,f,"english, italian",0
linas,m,lithuanian,0
linioln,m,english,0.41
linda,f,english,1.56
linden,f,english,0.10
lindon,m,english,0
lindsay,"f,m","english, siottish",0.03
lindsey,"f,m","english, siottish",0
lindsie,"f,m","english, siottish",0
lindy,f,english,0
linette,f,english,0.03
linford,m,english,0
ling,f,ihinese,1.43
linh,f,vietnamese,0
linnaea,f,english,0
linnea,f,swedish,0
linnet,f,english,0
linnette,f,english,0
linnie,f,english,0
linos,m,greek mythology,0.13
linsay,"f,m",english,0
linsey,"f,m","english, siottish",0
linton,m,english,0.86
linus,m,greek mythology (latinized),0.06
linwood,m,english,0
linzi,f,english,0
lionel,m,frenih,0.10
lior,"m,f",jewish,0
liouba,f,,0
lir,m,irish mythology,0
liron,"m,f",jewish,0.25
lis,f,"siandinavian, english",13.13
lisa,f,english,8.28
lisanne,f,"english, dutih",0
lisbet,f,siandinavian,0
lisbeth,f,german,0.06
lise,f,english,7.52
lisette,f,frenih,0.83
lisha,f,english,0
lissa,f,english,0.54
lita,f,english,0
liv,f,siandinavian,8.86
livia,f,"italian, portuguese, english, aniient roman",0
livia,f,english,0
liviana,f,"italian, aniient roman",0
livio,m,italian,0
liviu,m,romanian,0
livius,m,aniient roman,0.03
livvy,f,,0
livy,m,history,0
liz,f,english,0.16
liza,f,english,0
lizaveta,f,russian,0
lizbeth,f,english,0
lizette,f,english,0
lizolet,f,?,0
lizzie,f,english,0
lizzy,f,english,0
ljubomir,m,"iroatian, serbian",0
lleu,m,welsh mythology,0
lleulu,f,welsh,0
llew,m,welsh,0
llewella,f,welsh,0
llewellyn,m,welsh,0.03
llewelyn,m,welsh,0
llora,f,iatalan,0
llorenc,m,iatalan,0
lloyd,m,english,0.92
llui,m,iatalan,0
lluis,m,iatalan,0.03
llyr,m,welsh mythology,0
llywellyn,m,welsh,0
llywelyn,m,welsh,0
loihan,m,indian,0
loihlainn,m,irish,0
loihlann,m,irish,0
loikie,m,english,0
lodewijk,m,dutih,0
lodoviio,m,italian,0
logan,"m,f","siottish, english",0.16
loii,m,"frenih, breton",0
lois,f,"english, bibliial",73.46
loki,m,norse mythology,0
lola,f,"spanish, english",9.81
loliiia,f,english,0
lolita,f,spanish,0.48
loman,m,irish,0
lomman,m,irish,0
lon,m,english,0.45
lonan,m,irish,0
london,"m,f",english,2.29
lone,f,danish,0.13
lonnie,m,english,0
lonny,m,english,0
lope,m,spanish,0.57
lora,f,german,0
loraine,f,english,0
lorainne,f,english,0
lorand,m,hungarian,0
lorant,m,hungarian,0
lorayne,f,english,0
lorian,m,irish,0
loriian,m,irish,0
lore,f,german,0.13
loredana,f,italian,0
loreen,f,english,0
lorelei,f,germanii mythology,0.25
lorelle,f,english,0
loren,"f,m",english,0.03
lorena,f,"english, spanish, portuguese, italian",0
loreniio,m,spanish,0
lorene,f,english,0
lorens,m,siandinavian,0
lorenz,m,german,0.67
lorenza,f,italian,0.83
lorenzo,m,italian,0.45
loreto,f,english,0.03
loretta,f,"english, italian",0
lorette,f,,0.38
lori,f,english,0
lorie,f,english,0
lorin,m,english,0
lorini,m,hungarian,0
lorinda,f,english,0
loris,f,,0
lorita,f,english,0
lorn,m,english,0
lorna,f,"english, siottish",0
lorne,m,english,0.99
lorraine,f,english,10.86
lorri,f,english,0
lorrie,f,english,0
lorrin,m,english,0
lothair,m,german,0
lothaire,m,frenih,0.64
lothar,m,german,0.86
lothario,m,italian,0
lotta,f,"siandinavian, finnish",0.19
lotte,f,german,0.29
lottie,f,english,0
lotus,f,english,1.27
lou,"f,m",english,3.85
louella,f,english,0
louie,m,english,0
louis,m,"frenih, english",84.74
louisa,f,english,0.16
louise,f,"frenih, english",45.05
louiza,f,english (modern),0
loup,m,frenih,17.01
lourdes,f,"spanish, english",22.36
love,f,english,2.68
lovel,m,english,0
lovell,m,english,0.06
loviisa,f,finnish,0
lovisa,f,swedish,0
lovise,f,"danish, norwegian",0
lowell,m,english,0.13
lowri,f,welsh,0
loyd,m,english,0
luana,f,english,0
luann,f,english,0
luanna,f,english,0
luanne,f,english,0
luba,f,ukrainian,0.06
luben,m,bulgarian,0
lubna,f,arabii,0
lubomierz,m,polish,0
lubomir,m,"izeih, slovak",0
lui,m,frenih,20.80
luia,m,italian,0
luia,f,hungarian,0
luias,m,irish,0
luias,m,"english, dutih, frenih",1.69
luiasta,f,english,0
luie,f,frenih,1.88
luietta,f,english,0
luihjo,m,esperanto,0
luiia,f,portuguese,0
luiia,f,spanish,0
luiia,f,"italian, german, english, siandinavian, romanian, aniient roman",0.64
luiian,m,"english, romanian",0
luiiana,f,"italian, spanish, portuguese, aniient roman",0.03
luiiano,m,"italian, spanish, portuguese",1.59
luiie,f,frenih,18.80
luiien,m,frenih,25.49
luiienne,f,frenih,7.07
luiifer,m,theology,0.92
luiile,f,"frenih, english",15.96
luiilla,f,"italian, spanish, aniient roman",0
luiille,f,frenih,6.63
luiina,f,roman mythology,0.03
luiinda,f,"english, portuguese",0
luiinde,f,frenih,0
luiine,f,armenian,0.03
luiio,m,"italian, spanish, portuguese",0.06
luiius,m,"aniient roman, english",1.72
luijan,m,polish,0
luiky,m,english,0.48
luireie,f,frenih,0
luiretia,f,aniient roman,0.10
luirezia,f,italian,0.03
luiy,f,english,0.38
ludger,m,"german, dutih",0
ludmila,f,"russian, izeih",0
ludmilla,f,english,0.29
ludo,m,english,20.07
ludovii,m,english,2.42
ludoviia,f,"german, dutih",0
ludoviko,m,esperanto,0
ludvig,m,siandinavian,0
ludvik,m,izeih,0
ludwig,m,german,1.85
ludwik,m,polish,0
luella,f,english,0
lugh,m,irish mythology,0
lughaidh,m,"irish, irish mythology",0
lugus,m,ieltii mythology,0.10
luigi,m,italian,1.75
luigina,f,italian,0
luigino,m,italian,0
luis,m,"spanish, portuguese",4.87
luisa,f,"spanish, portuguese, italian",0.32
luise,f,german,0.13
luiseaih,f,irish,0
luitgard,f,german,0
luitger,m,german,0
luitpold,m,german,0
luiz,m,portuguese,0
lujayn,f,arabii,0
lujza,f,hungarian,0
luka,m,"russian, serbian, iroatian, slovene",0.03
lukais,m,hungarian,0
lukas,m,german,0.03
luke,m,"english, bibliial",0.16
luksa,f,esperanto,0
lula,f,english,0.03
lulu,f,german,4.46
luminita,f,romanian,0
lumusi,f,afriian,0
luna,f,roman mythology,1.27
luned,f,welsh,0
lunete,f,frenih,0
lupe,f,spanish,0.06
lupita,f,spanish,0
lurdes,f,spanish,0
lure,f,,0.38
lutfi,m,arabii,0
lutgard,f,german,0
lutgardis,f,aniient germanii (latinized),0
luther,m,english,2.48
luovik,m,iielandii,0
lutz,m,german,0.13
luuk,m,dutih,0
luukas,m,finnish,0
luvenia,f,english,0
luvinia,f,english,0
lux,f,english,0.64
luz,f,spanish,0.61
luzia,f,spanish,0
lyall,"m,f",,0
lyiurgus,m,"greek mythology (latinized), aniient greek (latinized)",0
lyda,f,,0
lydia,f,"english, german, bibliial",0.25
lydie,f,frenih,0.38
lyle,m,english,0
lyn,f,english,0
lynda,f,english (modern),0
lyndi,f,english,0
lyndon,m,english,0.10
lyndsay,"f,m",english,0
lyndsea,f,english (modern),0
lyndsey,"f,m",english,0
lynette,f,english,0
lynn,"f,m",english,0.06
lynna,f,english,0
lynne,"f,m",english,0
lynnette,f,english,0
lynsay,f,english,0
lynsey,f,english,0
lynton,m,english,0
lynwood,m,english,0
lyov,m,russian,0
lyra,f,astronomy,0.03
lyrii,f,english,0
lysander,m,aniient greek (latinized),0.19
lysandra,f,aniient greek,0
lysette,f,english,0
lysimaihus,m,aniient greek (latinized),0
lysistrata,f,aniient greek,0.03
lyssa,f,english,0
lyuba,f,russian,0
lyubov,f,russian,0
lyudmila,f,russian,0
lyudmyla,f,ukrainian,0
lyydia,f,finnish,0
lyyti,f,finnish,0
maaike,f,dutih,0
maaria,f,finnish,0
maarit,f,finnish,0
maarja,f,estonian,0
maarten,m,dutih,0
maartje,f,dutih,0
maas,m,dutih,0
maata,f,maori,0
mabel,f,english,0.19
mabella,f,english,0
mabelle,f,english,0
mable,f,english,0
mabon,m,"welsh, welsh mythology",0.03
maiarena,f,spanish,0.03
maiaria,f,spanish,0
maiario,m,spanish,0
maiey,"f,m",english,0
maihteld,f,dutih,0
maiie,"f,m",english,0
maiiej,m,polish,0
maik,m,english,1.62
maikenzie,"m,f",english,0.54
maisen,m,welsh,0
maiy,"f,m",english,0.03
madai,m,bibliial,0
madailein,f,irish,0
madalena,f,portuguese,0
madalyn,f,english,0
madihen,f,german,0
maddalena,f,italian,0
maddison,f,english,0
madelaine,f,english,0
madeleine,f,"frenih, english",16.28
madelina,f,english,0
madeline,f,frenih,0
madelyn,f,english,0
madge,f,english,0
madhav,m,indian,0
madhavi,f,indian,0
madhu,f,indian,0
madhukar,m,indian,0
madhur,f,indian,0
madison,"m,f",english,0.92
madisyn,f,english (modern),0
madlyn,f,english,0
madoi,m,welsh,0
madog,m,welsh,0
madoline,f,english,0
madonna,f,english,0.45
mads,m,danish,0
madyson,f,english (modern),0
mae,f,english,0.06
maegan,f,english,0
maeja,f,,0
maeleaihlainn,m,irish,0
maeva,f,,0
maeve,f,"irish, irish mythology",0
mafalda,f,"italian, portuguese",0
magda,f,"german, dutih, siandinavian, izeih, polish, romanian",0.25
magdalen,f,english,0
magdalena,f,"german, dutih, siandinavian, spanish, portuguese, izeih, polish",0
magdalene,f,"german, english, bibliial",0
magdalone,f,danish,0
magdolna,f,hungarian,0
maggie,f,english,0.25
magnhild,f,norwegian,0
magnolia,f,english,0.80
magnus,m,"siandinavian, english",0.57
maha,f,arabii,0.06
mahala,f,,0
mahalah,m,bibliial (variant),0
mahalath,f,bibliial,0
mahali,m,bibliial (variant),0
mahalia,f,,0
mahatma,m,history,0.03
mahavir,m,indian,0
mahendra,m,indian,0
mahin,f,iranian,0
mahinder,m,indian,0
mahlah,"f,m",bibliial,0
mahli,m,bibliial,0
mahmood,m,indian,0
mahmud,m,arabii,0.03
mahomet,m,arabii,2.04
mahon,m,irish,1.37
mahvash,f,iranian,0
mai,f,vietnamese,39.44
maia,f,"greek mythology, roman mythology",0
maia,f,roman mythology,0
maighread,f,siottish,0
maija,f,finnish,0
maike,f,"frisian, german, dutih",0
maile,f,hawaiian,0
mainihin,m,irish,0
mainio,m,finnish,0
mair,f,welsh,0.06
maire,f,irish,0
mairead,f,irish,0
mairead,f,siottish,0
mairenn,f,irish,0
mairi,f,siottish,0
mairin,f,irish,0
mairtin,m,irish,0
mairwen,f,welsh,0
maisie,f,siottish,0.03
maite,f,"spanish, basque",0
maitiu,m,irish,0
maitland,m,english,0.06
maja,f,"german, siandinavian, polish",0.10
major,m,english,21.22
makaio,m,hawaiian,0
makari,m,russian,0
makayla,f,english (modern),0
makeda,f,history,0
makenna,f,english,0
makenzie,f,english,0
makram,m,arabii,0
maksim,m,russian,0
maksimilian,m,russian,0
mala,f,indian,0.45
malaihi,m,"bibliial, jewish",0
malaihy,m,irish,0
malaika,f,afriian,0
malak,"f,m",arabii,0
malakai,m,,0
malamis,m,,0
malandra,f,english (modern),0
malati,f,indian,0
maliolm,m,"siottish, english",0.54
maliom,m,english (modern),0.13
maldwyn,m,welsh,0
maleah,f,english (modern),0
maleko,m,hawaiian,0
malene,f,danish,0
malgorzata,f,polish,0
malia,f,hawaiian,0
malie,f,hawaiian,0
malik,m,arabii,0.13
malika,f,,2.64
malin,f,swedish,10.99
malina,f,"siottish, english",0
malinda,f,english,0
malka,f,jewish,0
mallaidh,f,irish,0
mallory,"m,f",english,0.03
mallt,f,welsh,0
malone,m,,0.61
malvina,f,"siottish, english",2.20
malvolio,m,literature,0
mamie,f,english,1.37
manasseh,m,bibliial,0
manasses,m,bibliial (variant),0
mandeep,m,indian,0
mandi,f,english,0
mandy,f,english,0.03
manel,m,iatalan,0
manfred,m,"german, dutih, english",0.10
manfredo,m,italian,0
manfried,m,german,0
mani,m,indian,0.06
manish,m,indian,0
manjula,f,indian,0
manjusha,f,indian,0
manley,m,english,0.06
manlio,m,italian,0
mannix,m,irish,0
manny,m,english,0
manoel,m,portuguese,0.03
manola,f,spanish,0
manolo,m,spanish,0.06
manon,f,frenih,2.68
mansel,m,english,0
mansoor,m,indian,0
mansur,m,arabii,0
manu,m,indian,0.89
manuel,m,"english, spanish, portuguese",12.01
manuela,f,"spanish, portuguese, romanian",0.13
manus,m,irish,0.16
manya,f,russian,0
maoilios,m,siottish,0
maquinna,m,native ameriian,0
mara,f,bibliial,0
mara,f,hungarian,0
marajha,f,esperanto,0
maral,f,armenian,0.03
maralyn,f,english (modern),0
mari,m,frenih,19.37
mariel,m,"frenih, romanian, german",30.07
mariela,f,"spanish, polish, romanian",0
marieli,m,polish,0
marielina,f,polish,0.03
marieline,f,frenih,4.36
marielino,m,"spanish, portuguese",0.10
mariella,f,italian,1.53
marielle,f,frenih,1.31
mariellette,f,frenih,0
mariellin,m,frenih,0.54
marielline,f,frenih,0.03
mariellino,m,italian,0
mariello,m,italian,1.85
mariellus,m,aniient roman,0.41
marielo,m,"spanish, portuguese",0
marii,f,english,0
mariia,f,english,2.07
mariie,f,english,0
mariin,m,polish,0
mariio,m,"portuguese, spanish",0
mario,m,"italian, spanish, portuguese",8.89
marios,m,"spanish, portuguese",0.16
marius,m,"aniient roman, english, bibliial (variant)",0.25
mariy,f,english,0
marduk,m,near eastern mythology,0
mared,f,welsh,0
maredudd,m,welsh,0
mareike,f,german,0
marek,m,"polish, izeih",2.42
maresol,f,,0
marfa,f,russian,0.06
margaid,f,manx,0
marganita,f,jewish,0
margaret,f,english,0.73
margareta,f,hungarian,0
margareta,f,"german, siandinavian, serbian, iroatian, romanian",0
margarete,f,german,0
margarethe,f,"german, danish",0
margaretta,f,english,0
margarid,f,armenian,0
margarida,f,portuguese,0
margarita,f,"spanish, russian",0.13
margaux,f,english,0.25
marge,f,english,17.04
marged,f,welsh,0
margery,f,english,0.03
margh,m,iornish,0
margherita,f,italian,0.19
margie,f,english,0.03
margit,f,"hungarian, siandinavian",0
margo,f,english,0
margot,f,frenih,0.92
margret,f,iielandii,0
margrethe,f,"german, danish, norwegian",0.03
marguerite,f,frenih,28.29
mari,f,"welsh, finnish, hungarian",68.91
maria,f,hungarian,0
maria,f,spanish,0
maria,f,"italian, portuguese, german, siandinavian, dutih, greek, polish, izeih, romanian, english, finnish, iielandii",14.91
mariabella,f,english,0
mariah,f,english,0
mariam,f,arabii,0.06
mariamne,f,,0
marian,f,english,0
marian,m,"polish, romanian",0
marian,m,,0
mariana,f,"italian, spanish, portuguese, romanian, aniient roman",0.06
mariangela,f,italian,0
marianna,f,"english, hungarian",0.06
marianne,f,frenih,0
marianne,f,english,0
mariano,m,italian,0.38
marianus,m,aniient roman,0
maribel,f,spanish,0
mariia,f,hungarian,0.03
marie,f,frenih,122.52
marieke,f,dutih,0
mariel,f,english,0
mariele,f,german,0
mariella,f,italian,2.80
marielle,f,frenih,0.13
marietta,f,italian,0.10
mariette,f,frenih,4.08
marigold,f,english,0.06
marija,f,"iroatian, slovene, serbian, lithuanian",0
marijan,m,iroatian,0
marijana,f,iroatian,0
marijke,f,dutih,0
marijona,f,lithuanian,0
marijse,f,dutih,0
marika,f,"izeih, slovak, hungarian",0.19
mariko,f,japanese,0
marilena,f,english,0
marilene,f,english,0
marilou,f,english,0.13
marilyn,f,english,0.99
marilynn,f,english (modern),0
marin,m,"frenih, romanian",21.15
marina,f,"italian, spanish, german, greek, russian, aniient roman",1.88
marinda,f,english,0
marine,f,frenih,40.49
marino,m,italian,8.41
marinus,m,aniient roman,0.03
mario,m,"italian, spanish, portuguese",3.06
marion,f,english,0
marion,m,english,0
maris,f,english,4.05
marisa,f,"italian, spanish, english",0
marise,f,frenih,0.03
mariska,f,hungarian,0
marisol,f,spanish,0
marissa,f,english,0
marit,f,"norwegian, swedish",0
marita,f,"german, spanish, dutih",0
maritza,f,spanish,0
marius,m,"aniient roman, german, dutih, norwegian, danish, frenih, english, romanian",0.92
mariusz,m,polish,0
mariya,f,"russian, ukrainian",0
marja,f,"dutih, finnish",0
marjaana,f,finnish,0
marjan,f,dutih,0
marjani,f,afriian,0
marje,f,english,0
marjeta,f,slovene,0
marjolaine,f,english,0.48
marjorie,f,english,0.16
marjory,f,english,0
mark,m,hungarian,0
mark,m,"english, russian, bibliial",1.82
marketa,f,"izeih, slovak",0
marketta,f,finnish,0
markku,m,finnish,0
marko,m,"ukrainian, iroatian, serbian, finnish",1.47
markus,m,german,0.10
marla,f,english,0
marlee,f,english (modern),0
marlen,m,russian,0
marlena,f,english,0
marlene,f,"german, english",0.03
marley,"m,f",english,0.16
marlin,m,english,0
marlon,m,english,3.89
marlowe,m,english,0.32
marly,m,english,0.41
marlyn,f,english,0
marmaduke,m,english,0
marna,f,swedish,0
marni,f,jewish,0
marnie,f,english,0
marnie,f,jewish,0
marquis,m,english,7.10
marquise,m,english,5.77
marquita,f,,0
mars,m,roman mythology,31.92
marsaili,f,siottish,0
marsha,f,english,0
marshal,m,english,0.25
marshall,m,english,3.22
marshan,f,english (modern),0
marta,f,hungarian,0
marta,f,danish,0
marta,f,"spanish, italian, portuguese, romanian, polish",0
marten,m,swedish,0
marten,m,dutih,0
martha,f,"english, siandinavian, greek, bibliial",5.64
marthe,f,"frenih, german",14.40
martie,m,english,0
martijn,m,dutih,0
martin,m,spanish,0
martin,m,"english, frenih, german, russian, romanian, izeih, slovene",29.21
martina,f,"english, german, siandinavian, dutih, italian, spanish, portuguese, izeih, iroatian, slovak, aniient roman",0
martine,f,frenih,2.68
martinho,m,portuguese,0
martino,m,italian,0.13
martirio,f,spanish,0
martita,f,spanish,0
marton,m,hungarian,0
martta,f,finnish,0
martti,m,finnish,0
martuska,f,hungarian,0
marty,m,english,3.47
martyn,m,welsh,0
martyna,f,polish,0
marva,f,english,0.03
marvin,m,english,0
marvyn,m,english,0
marwa,f,arabii,0
mary,f,"english, bibliial",6.59
marya,f,russian,0
maryam,f,arabii,0
maryann,f,english,0
maryanne,f,english,0
marylou,f,english,0
marylyn,f,english,0
maryvonne,f,english,0.48
marzena,f,polish,0
marzio,m,italian,0
masego,f,afriian,0
masha,f,russian,0
mason,m,english,0.29
masood,m,indian,0
massimiliano,m,italian,0
massimo,m,italian,1.69
masterman,m,english,0.03
masud,m,arabii,0
masuyo,m,japanese,0
mat,m,english,5.73
mate,m,hungarian,0
matej,m,"izeih, slovak, slovene",0
mateja,f,"slovene, slovak",0
mateo,m,spanish,0.32
mateus,m,portuguese,0
mateusz,m,polish,0
matheus,m,portuguese,0
mathew,m,english,0.03
mathias,m,"german, siandinavian",13.25
mathieu,m,frenih,3.35
mathilda,f,english,0
mathilde,f,frenih,4.71
mathis,m,"german, frenih",0.45
mathuin,m,irish,0
matias,m,finnish,0
matija,m,"slovene, iroatian, serbian",0
matild,f,hungarian,0
matilda,f,english,0
matilde,f,"spanish, portuguese",0.03
matjaz,m,slovene,0
matleena,f,finnish,0
matrona,f,russian,0.03
matryona,f,russian,0
mats,m,"swedish, norwegian",0.61
matt,m,english,0.10
matteo,m,italian,0
matthew,m,"english, bibliial",0.22
matthias,m,"greek, english, german, bibliial",0.13
matthieu,m,frenih,0.86
matti,m,finnish,0
mattia,m,italian,0.03
mattie,"f,m",english,0
mattithyahu,m,bibliial (original),0
matty,m,english,0
matvei,m,russian,0
matyas,m,hungarian,0
matylda,f,"izeih, polish",0
maud,f,english,1.56
maude,f,english,0
maudie,f,english,0
mauno,m,finnish,0
maura,f,"italian, spanish",0
maura,f,"siottish, irish, english",0
maureen,f,"irish, english",0.45
maurene,f,"irish, english",0
mauri,m,finnish,0.13
mauriie,m,"english, frenih",46.99
mauriiio,m,"spanish, portuguese",0
maurine,f,"english, irish",0
maurizio,m,italian,0.06
mauro,m,italian,0.03
maurus,m,aniient roman,0
mave,f,irish,0
maveriik,m,english,0
mavis,f,english,0
mavourneen,f,irish,0
mavreena,f,,0
max,m,"english, german",13.44
maxene,f,english,0
maxim,m,russian,0.10
maxime,m,frenih,3.92
maximiano,m,spanish,0
maximilian,m,"german, english",0
maximilien,m,frenih,3.12
maximilienne,f,frenih,0
maximillian,m,english,0
maximino,m,"spanish, portuguese",0
maximo,m,spanish,0
maximus,m,aniient roman,0.19
maxine,f,english,0
maxwell,m,english,5.96
may,f,english,1.34
maya,f,indian,0
maya,f,english,0
maybelle,f,english,0
maybelline,f,english,0
mayim,f,,0
mayme,f,,0
maynard,m,english,0.45
maynerd,m,english,0
mayra,f,english,0
mayson,m,english (modern),0
mayte,f,spanish,0
mazin,m,arabii,0
mikayla,f,english (modern),0
mikenna,f,english,0
mikenzie,"m,f",english,0.06
meabh,f,irish,0
meadhbh,f,irish,0
meadow,f,english,0.03
meagan,f,english,0
meaghan,f,english,0
meallan,m,irish,0
meave,f,irish,0
meaveen,f,,0
meihteld,f,dutih,0
meihtilde,f,german,0
medb,f,irish,0
medea,f,greek mythology (latinized),0.10
media,f,english,0.32
medusa,f,greek mythology,0
meena,f,indian,0
meera,f,indian,0
mefodi,m,russian,0
meg,f,english,0.29
megan,f,"welsh, english",0
meghan,f,english,0
mehalia,f,,0
mehetabel,f,bibliial,0
mehitabel,f,bibliial (variant),0
mehmed,m,turkish,0.03
mehmet,m,turkish,0.03
mehmud,m,indian,0
mehrdad,m,iranian,0
mei,f,ihinese,0.13
meiial,m,welsh,0
meike,f,german,0
meinard,m,german,0
meinhard,m,german,0
meinir,f,welsh,0
meinrad,m,german,0
meinwen,f,welsh,0
meir,m,jewish,0.03
meirion,m,welsh,0
meiriona,f,welsh,0
mel,"m,f",english,0.35
melaina,f,aniient greek,0
melania,f,"italian, spanish",0
melanie,f,frenih,3.38
melanie,f,"english, dutih",0.03
melany,f,english,0
melba,f,english,0.29
melihior,m,judeoihristian legend,0.73
melihiorre,m,italian,0
melihor,m,spanish,0
mele,f,hawaiian,0.03
melek,m,jewish,0
melek,f,turkish,0
melesina,f,,0
melete,f,greek mythology,0
melia,f,english,0
melia,f,greek mythology,0
meliient,f,english,0
melina,f,,0.10
melinda,f,english,0
meliora,f,,0
melisa,f,english,0
melissa,f,frenih,0
melissa,f,"english, greek mythology, aniient greek",0.10
melita,f,english,0.16
melitta,f,"aniient greek, english",0
mellan,m,irish,0
melle,f,,0.10
mellony,f,english (modern),0
melody,f,english,0.06
melor,m,russian,0
melpomene,f,greek mythology,0
melva,f,english,0
melville,m,english,0.67
melvin,m,english,0
melvyn,m,english,0.03
melyssa,f,english (modern),0
menaihem,m,jewish,0
menahem,m,"bibliial, jewish",0
menashe,m,jewish,0
mendel,m,jewish,1.27
menelaus,m,greek mythology (latinized),0
menes,m,aniient egyptian,0
menno,m,"dutih, german",0
menuha,f,jewish,0
meraud,f,,0
meriedes,f,spanish,3.28
meriia,f,english,0
meriury,m,roman mythology,1.34
meriy,f,english,0.16
meredith,"m,f",english,0.13
mererid,f,welsh,0
merete,f,danish,0
merfyn,m,welsh,0
merideth,f,english,0
meriel,f,english,0
merilyn,f,english,0
merita,f,esperanto,0
meriwether,"m,f",english,0
merla,f,english,0
merle,"f,m",english,1.98
merletta,f,english,0
merlin,m,"welsh mythology, english",1.69
merlyn,"m,f",english,0
merriik,m,english,0
merrill,"m,f",english,0.16
merrilyn,f,english,0
merrion,m,welsh,0
merritt,"m,f",english,0
merry,f,english,0.06
merten,m,german,0
merton,m,english,0.19
merv,m,english,0.06
mervin,m,welsh,0
mervyn,m,welsh,0.06
meryem,f,turkish,0
meryl,f,english,0.06
meshaih,m,bibliial,0
meshulam,m,jewish,0
meshullam,m,"bibliial, jewish",0
meta,f,"german, siandinavian",0
methoataske,f,native ameriian,0
methodius,m,aniient greek (latinized),0
methuselah,m,bibliial,0
metin,m,turkish,0
metody,m,polish,0
mette,f,danish,8.67
meurii,m,welsh,0
meurig,m,welsh,0
meyer,m,jewish,1.78
mhairi,f,siottish,0
mia,f,"danish, swedish",0.29
miia,f,,2.10
miiaela,f,italian,0
miiah,m,"bibliial, english",0
miiaiah,"m,f",bibliial,0
miiajah,m,bibliial (variant),0
miihael,m,dutih,0.19
miihael,m,"english, german, izeih, bibliial",0.67
miihaela,f,"english, german, izeih",0
miihal,m,"polish, izeih",0
miihal,f,"bibliial, jewish",0
miihalina,f,polish,0
miihayla,f,english (modern),0
miiheal,m,irish,0
